symbol,exchange,series,isin,nse_scrip_code,bse_code
749RJ35,NSE,EQ,,758718,
182D140526,NSE,EQ,,759830,
182D080526,NSE,EQ,,759599,
757RJ43,NSE,EQ,,758723,
182D300426,NSE,EQ,,759503,
715RJ53,NSE,EQ,,757833,
182D240426,NSE,EQ,,758834,
717RJ52,NSE,EQ,,758197,
182D110626,NSE,EQ,,760298,
182D040626,NSE,EQ,,760099,
EIEL,NSE,EQ,,27213,
KCK,NSE,EQ,,10296,
645BR27,NSE,EQ,,3695,
182D280526,NSE,EQ,,760029,
639BR27,NSE,EQ,,3650,
754RJ53,NSE,EQ,,758665,
182D210526,NSE,EQ,,759865,
773RJ55,NSE,EQ,,758919,
MARUTI,NSE,EQ,,10999,
BYKE,NSE,EQ,,7919,
NATIONALUM,NSE,EQ,,6364,
182D260626,NSE,EQ,,760525,
GS220830C,NSE,EQ,,4427,
182D180626,NSE,EQ,,760390,
MBLINFRA,NSE,EQ,,18029,
680RJ35,NSE,EQ,,757734,
694RJ35,NSE,EQ,,757748,
TARIL,NSE,EQ,,15174,
706RJ38,NSE,EQ,,757750,
NDL,NSE,EQ,,31258,
709RJ43,NSE,EQ,,757553,
RADIOCITY,NSE,EQ,,19877,
GOKULAGRO,NSE,EQ,,14480,
CHEMICAL,NSE,EQ,,759885,
NAVKARURB,NSE,EQ,,29149,
NINSYS,NSE,EQ,,14194,
LEMONTREE,NSE,EQ,,2606,
PRIZOR,NSE,EQ,,24508,
MOMENTUM30,NSE,EQ,,759488,
182D190226,NSE,EQ,,758588,
685RJ51,NSE,EQ,,756817,
182D120226,NSE,EQ,,758413,
689RJ48,NSE,EQ,,757039,
67RJ35,NSE,EQ,,756091,
678RJ47,NSE,EQ,,756104,
685RJ47,NSE,EQ,,756816,
VLEGOV,NSE,EQ,,18012,
182D190326,NSE,EQ,,759198,
668RJ35,NSE,EQ,,756788,
182D120326,NSE,EQ,,758887,
673RJ35,NSE,EQ,,757560,
182D050326,NSE,EQ,,758939,
686RJ52,NSE,EQ,,757041,
182D270226,NSE,EQ,,758730,
664RJ35,NSE,EQ,,757383,
182D160426,NSE,EQ,,759380,
182D090426,NSE,EQ,,759432,
182D030426,NSE,EQ,,759340,
182D260326,NSE,EQ,,759046,
TOP15IETF,NSE,EQ,,757781,
BCONCEPTS,NSE,EQ,,7780,
QUALITY30,NSE,EQ,,757946,
AMBANIORGO,NSE,EQ,,4083,
SGFIN,NSE,EQ,,758853,
MANAPPURAM,NSE,EQ,,19061,
JOCIL,NSE,EQ,,16927,
APRAMEYA,NSE,EQ,,24638,
SMLT,NSE,EQ,,6843,
VINYLINDIA,NSE,EQ,,16821,
SEJALLTD,NSE,EQ,,7094,
IOLCP,NSE,EQ,,20413,
737IRFC29,NSE,EQ,,24672,
725IRFC34,NSE,EQ,,25031,
715IRFC39,NSE,EQ,,27121,
765RJ40,NSE,EQ,,760580,
CENTRUM,NSE,EQ,,2454,
709IRFC34,NSE,EQ,,27951,
739IRFC34,NSE,EQ,,24474,
ASPINWALL,NSE,EQ,,17270,
678IRFC30,NSE,EQ,,756331,
724RJ36A,NSE,EQ,,760016,
724RJ35,NSE,EQ,,760091,
SHAREINDIA,NSE,EQ,,104,
656RJ29,NSE,EQ,,759984,
VERTOZ,NSE,EQ,,18863,
715IRFC34,NSE,EQ,,28895,
724RJ31,NSE,EQ,,760481,
725IRFC35B,NSE,EQ,,29180,
BOMDYEING,NSE,EQ,,513,
754RJ35,NSE,EQ,,760510,
728IRFC40,NSE,EQ,,29641,
SGL,NSE,EQ,,13367,
754RJ36,NSE,EQ,,760513,
717IRFC35,NSE,EQ,,30487,
69RJ29,NSE,EQ,,760479,
651KA31,NSE,EQ,,21419,
649KA30,NSE,EQ,,21390,
INGERRAND,NSE,EQ,,1597,
658KA30,NSE,EQ,,20288,
PVSL,NSE,EQ,,23142,
JISLJALEQS,NSE,EQ,,10397,
793KA31,NSE,EQ,,20965,
MID150,NSE,EQ,,30469,
780KA30,NSE,EQ,,20964,
717BR32,NSE,EQ,,8327,
885MFL28,NSE,EQ,,20751,
CPEDU,NSE,EQ,,758941,
612KA27,NSE,EQ,,21929,
SICALLOG,NSE,EQ,,19440,
57KA26,NSE,EQ,,21927,
878MFL27,NSE,EQ,,20749,
609KA28,NSE,EQ,,21930,
0IRFC35,NSE,EQ,,760080,
716RJ35,NSE,EQ,,759856,
729RJ37,NSE,EQ,,759858,
687BR30A,NSE,EQ,,6877,
666RJ29,NSE,EQ,,759548,
675RJ30A,NSE,EQ,,759863,
684BR30,NSE,EQ,,7152,
MSCIINDIA,NSE,EQ,,29758,
665IRFC30,NSE,EQ,,756947,
683BR30,NSE,EQ,,7043,
713BR32,NSE,EQ,,8298,
647IRFC28,NSE,EQ,,758169,
BANSWRAS,NSE,EQ,,14511,
658IRFC30,NSE,EQ,,758167,
724BR32,NSE,EQ,,7870,
PRIMECAB,NSE,EQ,,759023,
902MFL27,NSE,EQ,,23768,
HINDCON,NSE,EQ,,4920,
NIFTY100EW,NSE,EQ,,29944,
903MFL29,NSE,EQ,,23665,
732RJ35,NSE,EQ,,759028,
74KL37,NSE,EQ,,8713,
64KA30,NSE,EQ,,22265,
897MFL27,NSE,EQ,,24512,
EVIETF,NSE,EQ,,755881,
909MFL29,NSE,EQ,,23988,
746RJ51,NSE,EQ,,759334,
890MFL27,NSE,EQ,,23361,
885MFL29,NSE,EQ,,22513,
723RJ35,NSE,EQ,,758820,
73RJ51,NSE,EQ,,758819,
OWAIS,NSE,EQ,,22911,
895MFL27,NSE,EQ,,23667,
746RJ38,NSE,EQ,,759322,
756RJ41,NSE,EQ,,759326,
FIEMIND,NSE,EQ,,13710,
MUTF27,NSE,EQ,,23363,
731KL32,NSE,EQ,,8686,
742KL34,NSE,EQ,,8579,
664KA32,NSE,EQ,,22370,
SFL,NSE,EQ,,19184,
852MFL28,NSE,EQ,,755984,
717KL32,NSE,EQ,,8329,
65KA30,NSE,EQ,,22368,
